Time(ms),USB(mA),USB Voltage(V),
np.float64(0.1498548984527588),np.float64(234.08541881218747),np.float64(4.916625),
np.float64(0.15005207061767578),np.float64(234.27071349416747),np.float64(4.917125),
np.float64(0.15024781227111816),np.float64(234.3104194974489),np.float64(4.91725),
np.float64(0.15044784545898438),np.float64(233.11923939900618),np.float64(4.91775),
np.float64(0.15081787109375),np.float64(233.39718142197614),np.float64(4.917375),
np.float64(0.15099692344665527),np.float64(233.62218210723753),np.float64(4.9175),
np.float64(0.1511080265045166),np.float64(233.43688742525757),np.float64(4.914625),
np.float64(0.15126585960388184),np.float64(237.88395979277695),np.float64(4.91475),
np.float64(0.15144085884094238),np.float64(236.1236603139672),np.float64(4.9155),
np.float64(0.15166473388671875),np.float64(235.43542292375588),np.float64(4.916),
np.float64(0.15185785293579102),np.float64(233.7677707859361),np.float64(4.91675),
np.float64(0.15206694602966309),np.float64(235.6736589434444),np.float64(4.914375),
np.float64(0.15225481986999512),np.float64(234.3104194974489),np.float64(4.9215),
np.float64(0.15245676040649414),np.float64(228.2618716642454),np.float64(4.9197500000000005),
np.float64(0.1526508331298828),np.float64(230.63099652670365),np.float64(4.9186250000000005),
np.float64(0.15284299850463867),np.float64(231.42511659233213),np.float64(4.918375),
np.float64(0.15307188034057617),np.float64(232.47070801207627),np.float64(4.918),
np.float64(0.15325689315795898),np.float64(232.85453271046336),np.float64(4.91775),
np.float64(0.15345287322998047),np.float64(232.444237343222),np.float64(4.918),
np.float64(0.15365076065063477),np.float64(232.8412973760362),np.float64(4.917625),
np.float64(0.1538538932800293),np.float64(233.45012275968472),np.float64(4.917),
np.float64(0.15404486656188965),np.float64(233.8074767892175),np.float64(4.916875),
np.float64(0.15424680709838867),np.float64(233.84718279249893),np.float64(4.917),
np.float64(0.15446805953979492),np.float64(233.6089467728104),np.float64(4.916625),
np.float64(0.15465903282165527),np.float64(233.8339474580718),np.float64(4.916375),
np.float64(0.15485310554504395),np.float64(233.68835877937326),np.float64(4.916),
np.float64(0.15505671501159668),np.float64(233.95306546791608),np.float64(4.91775),
np.float64(0.15524697303771973),np.float64(233.6751234449461),np.float64(4.91675),
np.float64(0.15548491477966309),np.float64(234.13836014989604),np.float64(4.91525),
np.float64(0.1556549072265625),np.float64(236.11042497954006),np.float64(4.91575),
np.float64(0.15586185455322266),np.float64(234.7339501991174),np.float64(4.917125),
np.float64(0.15607786178588867),np.float64(233.62218210723753),np.float64(4.916375),
np.float64(0.1562669277191162),np.float64(234.01924214005177),np.float64(4.916625),
np.float64(0.15647411346435547),np.float64(234.11188948104177),np.float64(4.915875),
np.float64(0.15667390823364258),np.float64(234.46924351057456),np.float64(4.9165),
np.float64(0.15687799453735352),np.float64(234.11188948104177),np.float64(4.91525),
np.float64(0.15707802772521973),np.float64(235.89865962870581),np.float64(4.917875),
np.float64(0.15725994110107422),np.float64(233.0001213891619),np.float64(4.91775),
np.float64(0.1574718952178955),np.float64(232.98688605473478),np.float64(4.917),
np.float64(0.15768170356750488),np.float64(234.00600680562462),np.float64(4.91725),
np.float64(0.15787792205810547),np.float64(233.86041812692608),np.float64(4.916),
np.float64(0.15806198120117188),np.float64(234.66777352698168),np.float64(4.916125),
np.float64(0.15825295448303223),np.float64(234.323654831876),np.float64(4.916625),
np.float64(0.15845704078674316),np.float64(234.49571417942886),np.float64(4.9165),
np.float64(0.158674955368042),np.float64(234.20453682203174),np.float64(4.9175),
